Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
2881384688,NBA FREE 200-Player,115281083,$0,19608795,19608574,19608553,19608715,19608683,19608771,19608481,19608658,,1. Column A lists all of your contest entries for this draftgroup
,,,,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
,,,,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
,,,,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
,,,,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
,,,,,,,,,,,,,
,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,PG/SG,Goran Dragic (19608612),Goran Dragic,19608612,PG/SG/G/UTIL,4700,TOR@BOS 10/09/2021 07:00PM ET,TOR,25.64
,,,,,,,,,,,,,PF/C,Al Horford (19608616),Al Horford,19608616,PF/C/F/UTIL,4700,TOR@BOS 10/09/2021 07:00PM ET,BOS,31.82
,,,,,,,,,,,,,PG,Sharife Cooper (19608605),Sharife Cooper,19608605,PG/G/UTIL,4700,ATL@MEM 10/09/2021 08:00PM ET,ATL,0
,,,,,,,,,,,,,PG/SG,De'Anthony Melton (19608608),De'Anthony Melton,19608608,PG/SG/G/UTIL,4700,ATL@MEM 10/09/2021 08:00PM ET,MEM,19.48
,,,,,,,,,,,,,C,Jericho Sims (19608644),Jericho Sims,19608644,C/UTIL,4700,NYK@WAS 10/09/2021 07:00PM ET,NYK,0
,,,,,,,,,,,,,SG/SF,Gary Trent Jr. (19608627),Gary Trent Jr.,19608627,SG/SF/F/G/UTIL,4600,TOR@BOS 10/09/2021 07:00PM ET,TOR,23.98
,,,,,,,,,,,,,SF,Aaron Nesmith (19608635),Aaron Nesmith,19608635,SF/F/UTIL,4600,TOR@BOS 10/09/2021 07:00PM ET,BOS,9.95
,,,,,,,,,,,,,SF/PF,Jalen Johnson (19608620),Jalen Johnson,19608620,SF/PF/F/UTIL,4600,ATL@MEM 10/09/2021 08:00PM ET,ATL,0
,,,,,,,,,,,,,SF,Desmond Bane (19608624),Desmond Bane,19608624,SF/F/UTIL,4600,ATL@MEM 10/09/2021 08:00PM ET,MEM,17.57
,,,,,,,,,,,,,PG,Aaron Holiday (19608632),Aaron Holiday,19608632,PG/G/UTIL,4600,NYK@WAS 10/09/2021 07:00PM ET,WAS,13.47
,,,,,,,,,,,,,SG/SF,Alec Burks (19608665),Alec Burks,19608665,SG/SF/F/G/UTIL,4600,NYK@WAS 10/09/2021 07:00PM ET,NYK,24.32
,,,,,,,,,,,,,SF,Justin Champagnie (19608641),Justin Champagnie,19608641,SF/F/UTIL,4500,TOR@BOS 10/09/2021 07:00PM ET,TOR,0
,,,,,,,,,,,,,SG/SF,Romeo Langford (19608646),Romeo Langford,19608646,SG/SF/F/G/UTIL,4500,TOR@BOS 10/09/2021 07:00PM ET,BOS,9.36
,,,,,,,,,,,,,PG,Carsen Edwards (19608638),Carsen Edwards,19608638,PG/G/UTIL,4500,ATL@MEM 10/09/2021 08:00PM ET,MEM,6.08
,,,,,,,,,,,,,SF,Timothe Luwawu-Cabarrot (19608651),Timothe Luwawu-Cabarrot,19608651,SF/F/UTIL,4500,ATL@MEM 10/09/2021 08:00PM ET,ATL,11.47
,,,,,,,,,,,,,PG,Miles McBride (19608680),Miles McBride,19608680,PG/G/UTIL,4500,NYK@WAS 10/09/2021 07:00PM ET,NYK,0
,,,,,,,,,,,,,PG/SG,Malachi Flynn (19608661),Malachi Flynn,19608661,PG/SG/G/UTIL,4400,TOR@BOS 10/09/2021 07:00PM ET,TOR,17.03
,,,,,,,,,,,,,PF,Juancho Hernangomez (19608677),Juancho Hernangomez,19608677,PF/F/UTIL,4400,TOR@BOS 10/09/2021 07:00PM ET,BOS,14.42
,,,,,,,,,,,,,PF/C,Brandon Clarke (19608654),Brandon Clarke,19608654,PF/C/F/UTIL,4400,ATL@MEM 10/09/2021 08:00PM ET,MEM,22.75
,,,,,,,,,,,,,SG,Sam Merrill (19608658),Sam Merrill,19608658,SG/G/UTIL,4400,ATL@MEM 10/09/2021 08:00PM ET,MEM,5.32
,,,,,,,,,,,,,SG,Skylar Mays (19608674),Skylar Mays,19608674,SG/G/UTIL,4400,ATL@MEM 10/09/2021 08:00PM ET,ATL,6.57
,,,,,,,,,,,,,PF/C,Isaiah Todd (19608670),Isaiah Todd,19608670,PF/C/F/UTIL,4400,NYK@WAS 10/09/2021 07:00PM ET,WAS,0
,,,,,,,,,,,,,PF,Kevin Knox II (19608687),Kevin Knox II,19608687,PF/F/UTIL,4400,NYK@WAS 10/09/2021 07:00PM ET,NYK,7.43
,,,,,,,,,,,,,SG/SF,Svi Mykhailiuk (19608692),Svi Mykhailiuk,19608692,SG/SF/F/G/UTIL,4300,TOR@BOS 10/09/2021 07:00PM ET,TOR,16.10
,,,,,,,,,,,,,PF,Jabari Parker (19608697),Jabari Parker,19608697,PF/F/UTIL,4300,TOR@BOS 10/09/2021 07:00PM ET,BOS,12.28
,,,,,,,,,,,,,PF/C,Xavier Tillman (19608683),Xavier Tillman,19608683,PF/C/F/UTIL,4300,ATL@MEM 10/09/2021 08:00PM ET,MEM,15.78
,,,,,,,,,,,,,PG,Tyus Jones (19608700),Tyus Jones,19608700,PG/G/UTIL,4300,ATL@MEM 10/09/2021 08:00PM ET,MEM,15.47
,,,,,,,,,,,,,C,Jay Huff (19608690),Jay Huff,19608690,C/UTIL,4300,NYK@WAS 10/09/2021 07:00PM ET,WAS,0
,,,,,,,,,,,,,SG,Quentin Grimes (19608728),Quentin Grimes,19608728,SG/G/UTIL,4300,NYK@WAS 10/09/2021 07:00PM ET,NYK,0
,,,,,,,,,,,,,C,Freddie Gillespie (19608703),Freddie Gillespie,19608703,C/UTIL,4200,TOR@BOS 10/09/2021 07:00PM ET,TOR,15.29
,,,,,,,,,,,,,C,Enes Kanter (19608726),Enes Kanter,19608726,C/UTIL,4200,TOR@BOS 10/09/2021 07:00PM ET,BOS,27.65
,,,,,,,,,,,,,SG,Shaq Buchanan (19608718),Shaq Buchanan,19608718,SG/G/UTIL,4200,ATL@MEM 10/09/2021 08:00PM ET,MEM,0
,,,,,,,,,,,,,SG/SF,Jarrett Culver (19608721),Jarrett Culver,19608721,SG/SF/F/G/UTIL,4200,ATL@MEM 10/09/2021 08:00PM ET,MEM,11.53
,,,,,,,,,,,,,PG/SG,Caleb Homesley (19608705),Caleb Homesley,19608705,PG/SG/G/UTIL,4200,NYK@WAS 10/09/2021 07:00PM ET,WAS,0
,,,,,,,,,,,,,PG,Jordan Goodwin (19608712),Jordan Goodwin,19608712,PG/G/UTIL,4200,NYK@WAS 10/09/2021 07:00PM ET,WAS,0
,,,,,,,,,,,,,SF,Dwayne Bacon (19608731),Dwayne Bacon,19608731,SF/F/UTIL,4200,NYK@WAS 10/09/2021 07:00PM ET,NYK,18.25
,,,,,,,,,,,,,PG,Dalano Banton (19608709),Dalano Banton,19608709,PG/G/UTIL,4100,TOR@BOS 10/09/2021 07:00PM ET,TOR,0
,,,,,,,,,,,,,PF/C,Grant Williams (19608750),Grant Williams,19608750,PF/C/F/UTIL,4100,TOR@BOS 10/09/2021 07:00PM ET,BOS,11.13
,,,,,,,,,,,,,SG/SF,Josh Richardson (19608754),Josh Richardson,19608754,SG/SF/F/G/UTIL,4100,TOR@BOS 10/09/2021 07:00PM ET,BOS,21.52
,,,,,,,,,,,,,PG,Kris Dunn (19608734),Kris Dunn,19608734,PG/G/UTIL,4100,ATL@MEM 10/09/2021 08:00PM ET,MEM,5.31
,,,,,,,,,,,,,C,Santi Aldama (19608740),Santi Aldama,19608740,C/UTIL,4100,ATL@MEM 10/09/2021 08:00PM ET,MEM,0
,,,,,,,,,,,,,C,Johnny Hamilton (19608748),Johnny Hamilton,19608748,C/UTIL,4100,ATL@MEM 10/09/2021 08:00PM ET,ATL,0
,,,,,,,,,,,,,PF,Aamir Simms (19608737),Aamir Simms,19608737,PF/F/UTIL,4100,NYK@WAS 10/09/2021 07:00PM ET,NYK,0
,,,,,,,,,,,,,PF,Anthony Gill (19608742),Anthony Gill,19608742,PF/F/UTIL,4100,NYK@WAS 10/09/2021 07:00PM ET,WAS,6.47
,,,,,,,,,,,,,SG,Jordan Schakel (19608745),Jordan Schakel,19608745,SG/G/UTIL,4100,NYK@WAS 10/09/2021 07:00PM ET,WAS,0
,,,,,,,,,,,,,PF,Yuta Watanabe (19608715),Yuta Watanabe,19608715,PF/F/UTIL,4000,TOR@BOS 10/09/2021 07:00PM ET,TOR,11.50
,,,,,,,,,,,,,PG/SG,David Johnson (19608785),David Johnson,19608785,PG/SG/G/UTIL,4000,TOR@BOS 10/09/2021 07:00PM ET,TOR,0
,,,,,,,,,,,,,C,Bruno Fernando (19608793),Bruno Fernando,19608793,C/UTIL,4000,TOR@BOS 10/09/2021 07:00PM ET,BOS,4.47
,,,,,,,,,,,,,PG,Ryan Arcidiacono (19608795),Ryan Arcidiacono,19608795,PG/G/UTIL,4000,TOR@BOS 10/09/2021 07:00PM ET,BOS,7.48
,,,,,,,,,,,,,PF,Sam Hauser (19608798),Sam Hauser,19608798,PF/F/UTIL,4000,TOR@BOS 10/09/2021 07:00PM ET,BOS,0
,,,,,,,,,,,,,PF,Reggie Perry (19608801),Reggie Perry,19608801,PF/F/UTIL,4000,TOR@BOS 10/09/2021 07:00PM ET,TOR,7.64
,,,,,,,,,,,,,PF,Juwan Morgan (19608804),Juwan Morgan,19608804,PF/F/UTIL,4000,TOR@BOS 10/09/2021 07:00PM ET,BOS,3.14
,,,,,,,,,,,,,SG,Garrison Mathews (19608807),Garrison Mathews,19608807,SG/G/UTIL,4000,TOR@BOS 10/09/2021 07:00PM ET,BOS,9.01
,,,,,,,,,,,,,SG,Theo Pinson (19608810),Theo Pinson,19608810,SG/G/UTIL,4000,TOR@BOS 10/09/2021 07:00PM ET,BOS,0.54
,,,,,,,,,,,,,SG,Juhann Begarin (19608813),Juhann Begarin,19608813,SG/G/UTIL,4000,TOR@BOS 10/09/2021 07:00PM ET,BOS,0
,,,,,,,,,,,,,SF,Sam Dekker (19608816),Sam Dekker,19608816,SF/F/UTIL,4000,TOR@BOS 10/09/2021 07:00PM ET,TOR,0
,,,,,,,,,,,,,SF,Isaac Bonga (19608819),Isaac Bonga,19608819,SF/F/UTIL,4000,TOR@BOS 10/09/2021 07:00PM ET,TOR,5.29
,,,,,,,,,,,,,SF,Ish Wainright (19608822),Ish Wainright,19608822,SF/F/UTIL,4000,TOR@BOS 10/09/2021 07:00PM ET,TOR,0
,,,,,,,,,,,,,PG,Tim Frazier (19608768),Tim Frazier,19608768,PG/G/UTIL,4000,ATL@MEM 10/09/2021 08:00PM ET,MEM,9.2
,,,,,,,,,,,,,PG,Brandon Goodwin (19608771),Brandon Goodwin,19608771,PG/G/UTIL,4000,ATL@MEM 10/09/2021 08:00PM ET,ATL,10.40
,,,,,,,,,,,,,C,Jahlil Okafor (19608774),Jahlil Okafor,19608774,C/UTIL,4000,ATL@MEM 10/09/2021 08:00PM ET,ATL,9.61
,,,,,,,,,,,,,SF/PF,Solomon Hill (19608776),Solomon Hill,19608776,SF/PF/F/UTIL,4000,ATL@MEM 10/09/2021 08:00PM ET,ATL,10.40
,,,,,,,,,,,,,SF,Yves Pons (19608825),Yves Pons,19608825,SF/F/UTIL,4000,ATL@MEM 10/09/2021 08:00PM ET,MEM,0
,,,,,,,,,,,,,PG/SF,John Konchar (19608828),John Konchar,19608828,PG/SF/F/G/UTIL,4000,ATL@MEM 10/09/2021 08:00PM ET,MEM,11.30
,,,,,,,,,,,,,PG,Rokas Jokubaitis (19608759),Rokas Jokubaitis,19608759,PG/G/UTIL,4000,NYK@WAS 10/09/2021 07:00PM ET,NYK,0
,,,,,,,,,,,,,SF,Wayne Selden Jr. (19608762),Wayne Selden Jr.,19608762,SF/F/UTIL,4000,NYK@WAS 10/09/2021 07:00PM ET,NYK,0
,,,,,,,,,,,,,SG,M.J. Walker (19608765),M.J. Walker,19608765,SG/G/UTIL,4000,NYK@WAS 10/09/2021 07:00PM ET,NYK,0
,,,,,,,,,,,,,SF,Aaron Sims (19608780),Aaron Sims,19608780,SF/F/UTIL,4000,NYK@WAS 10/09/2021 07:00PM ET,NYK,0
,,,,,,,,,,,,,C,Jaime Echenique (19608783),Jaime Echenique,19608783,C/UTIL,4000,NYK@WAS 10/09/2021 07:00PM ET,WAS,0
,,,,,,,,,,,,,PG/SG,Raul Neto (19608789),Raul Neto,19608789,PG/SG/G/UTIL,4000,NYK@WAS 10/09/2021 07:00PM ET,WAS,17.14
